polygon,year,peak,tier,payout_pct
hex_008_019,2004,127.23387766619109,0,0.0
hex_008_019,2005,94.68149756537544,0,0.0
hex_008_019,2006,100.86989342042969,0,0.0
hex_008_019,2007,123.30816509134654,0,0.0
hex_008_020,1998,129.82042471323575,0,0.0
hex_008_020,1999,87.85759877428826,0,0.0
hex_008_020,2000,101.1996579595738,0,0.0
hex_008_020,2001,153.24052617468354,0,0.0
hex_008_020,2002,164.66677578613576,0,0.0
hex_008_020,2003,170.92519626142663,0,0.0
hex_008_020,2004,132.79696364348132,0,0.0
hex_008_020,2005,104.13345239722067,0,0.0
hex_008_020,2006,103.99323207413157,0,0.0
hex_008_020,2007,166.15472436230215,0,0.0
hex_008_021,1998,114.08550369973813,0,0.0
hex_008_021,1999,85.18011159792542,0,0.0
hex_008_021,2000,103.63192896562732,0,0.0
hex_008_021,2001,155.65957546422052,0,0.0
hex_008_021,2002,173.10744754325185,0,0.0
hex_008_021,2003,179.25768663588497,0,0.0
hex_008_021,2004,147.80556497488584,0,0.0
hex_008_021,2005,116.95087145516028,0,0.0
hex_008_021,2006,111.77890761844813,0,0.0
hex_008_021,2007,180.36962550609476,0,0.0
hex_008_022,1998,119.27972232997004,0,0.0
hex_008_022,1999,98.61306633018371,0,0.0
hex_008_022,2000,115.3297202222339,0,0.0
hex_008_022,2001,152.2295483208034,0,0.0
hex_008_022,2002,178.35358730511948,0,0.0
hex_008_022,2003,193.30329702929905,0,0.0
hex_008_022,2004,145.24168436968492,0,0.0
hex_008_022,2005,113.07995699430505,0,0.0
hex_008_022,2006,125.99863023430109,0,0.0
hex_008_022,2007,219.87972430326872,1,20.0
hex_008_023,1998,122.1102288281752,0,0.0
hex_008_023,1999,105.74473729419212,0,0.0
hex_008_023,2000,131.03221532339438,0,0.0
hex_008_023,2001,152.10016655323406,0,0.0
hex_008_023,2002,174.40130922339443,0,0.0
hex_008_023,2003,189.7996396169563,0,0.0
hex_008_023,2004,133.9052435276202,0,0.0
hex_008_023,2005,118.65105125538177,0,0.0
hex_008_023,2006,136.46917667750682,0,0.0
hex_008_023,2007,230.82297343869175,1,20.0
hex_008_024,1998,138.87921438895995,0,0.0
hex_008_024,1999,116.16782043692552,0,0.0
hex_008_024,2000,137.12879171414508,0,0.0
hex_008_024,2001,138.48489289503544,0,0.0
hex_008_024,2002,163.940095503086,0,0.0
hex_008_024,2003,189.7996396169563,1,20.0
hex_008_024,2004,135.59039929080342,0,0.0
hex_008_024,2005,126.62022123845087,0,0.0
hex_008_024,2006,136.59140776723208,0,0.0
hex_008_024,2007,219.60050434412642,2,50.0
hex_008_025,1998,141.36886964810805,0,0.0
hex_008_025,1999,93.58494548298833,0,0.0
hex_008_025,2000,150.55949429508297,0,0.0
hex_008_025,2001,125.61417262794242,0,0.0
hex_008_025,2002,150.9170839258325,0,0.0
hex_008_025,2003,169.0883155685001,0,0.0
hex_008_025,2004,147.57851362818232,0,0.0
hex_008_025,2005,133.67687534592218,0,0.0
hex_008_025,2006,141.33680692293578,0,0.0
hex_008_025,2007,216.2247544900204,2,50.0
hex_009_017,1998,102.94622719648811,0,0.0
hex_009_017,1999,110.59628312301719,0,0.0
hex_009_017,2000,66.40103054659234,0,0.0
hex_009_017,2001,100.557421361982,0,0.0
hex_009_017,2002,147.79200569343237,1,20.0
hex_009_017,2003,106.2309535340137,0,0.0
hex_009_017,2004,101.23473461847752,0,0.0
hex_009_017,2005,87.5216931608816,0,0.0
hex_009_017,2006,96.8748799039796,0,0.0
hex_009_017,2007,109.07719568693389,0,0.0
hex_009_018,1998,106.61575873237103,0,0.0
hex_009_018,1999,103.8479472281163,0,0.0
hex_009_018,2000,68.70251259631995,0,0.0
hex_009_018,2001,126.3627802982885,0,0.0
hex_009_018,2002,154.20564882415036,1,20.0
hex_009_018,2003,118.690724590905,0,0.0
hex_009_018,2004,116.40069031876408,0,0.0
hex_009_018,2005,111.84450903745989,0,0.0
hex_009_018,2006,96.90784698824916,0,0.0
hex_009_018,2007,151.26516139620293,1,20.0
hex_009_019,1998,119.05858086327711,0,0.0
hex_009_019,1999,89.5075055103956,0,0.0
hex_009_019,2000,87.09370740006368,0,0.0
hex_009_019,2001,149.0237602024608,0,0.0
hex_009_019,2002,156.42598114444976,0,0.0
hex_009_019,2003,146.1928036248684,0,0.0
hex_009_019,2004,124.8299583801503,0,0.0
hex_009_019,2005,130.6968610783211,0,0.0
hex_009_019,2006,107.74725743071487,0,0.0
hex_009_019,2007,190.37021552169904,1,20.0
hex_009_020,1998,107.21602527224356,0,0.0
hex_009_020,1999,89.5075055103956,0,0.0
hex_009_020,2000,96.12526194663926,0,0.0
hex_009_020,2001,155.65957546422052,0,0.0
hex_009_020,2002,158.89624053680234,0,0.0
hex_009_020,2003,167.8366659756129,0,0.0
hex_009_020,2004,143.14889240091046,0,0.0
hex_009_020,2005,121.71926024752358,0,0.0
hex_009_020,2006,111.34581635625825,0,0.0
hex_009_020,2007,178.11292308229125,0,0.0
hex_009_021,1998,114.45069629912575,0,0.0
hex_009_021,1999,84.6738781669115,0,0.0
hex_009_021,2000,111.9011410475481,0,0.0
hex_009_021,2001,150.93304407432262,0,0.0
hex_009_021,2002,165.66561757232995,0,0.0
hex_009_021,2003,178.8528140204855,0,0.0
hex_009_021,2004,148.01063791272955,0,0.0
hex_009_021,2005,125.54805654799358,0,0.0
hex_009_021,2006,126.13506233233545,0,0.0
hex_009_021,2007,224.87088701743633,1,20.0
hex_009_022,1998,114.45069629912575,0,0.0
hex_009_022,1999,85.67473298386982,0,0.0
hex_009_022,2000,117.64972947893871,0,0.0
hex_009_022,2001,152.10016655323406,0,0.0
hex_009_022,2002,174.21957857424601,0,0.0
hex_009_022,2003,183.09518272929307,0,0.0
hex_009_022,2004,148.01063791272955,0,0.0
hex_009_022,2005,122.23681212716633,0,0.0
hex_009_022,2006,136.23389920671366,0,0.0
hex_009_022,2007,250.54002352858998,2,50.0
hex_009_023,1998,125.6968174582844,0,0.0
