polygon,year,peak_anomaly,tier,payout_pct,thresholds,payout_eur
hex_018_013,2023,192.88,3,100.0,144.4;163.9;178.4,250000.0
hex_018_014,2023,190.3,3,100.0,148.0;168.9;184.4,250000.0
hex_018_015,2023,197.55,3,100.0,153.8;177.1;194.5,250000.0
hex_019_000,2023,143.26,1,20.0,141.9;166.8;185.2,50000.0
hex_019_001,2023,143.26,1,20.0,137.1;159.6;176.3,50000.0
hex_019_002,2023,115.19,0,0.0,137.8;157.9;172.9,0.0
hex_019_003,2023,105.92,0,0.0,142.2;163.3;178.9,0.0
hex_019_004,2023,104.85,0,0.0,147.3;172.0;190.3,0.0
hex_019_005,2023,105.21,0,0.0,145.5;170.4;188.8,0.0
hex_019_006,2023,113.57,0,0.0,142.7;166.1;183.5,0.0
hex_019_007,2023,145.46,0,0.0,145.9;170.0;187.8,0.0
hex_019_008,2023,164.77,1,20.0,144.3;167.9;185.4,50000.0
hex_019_009,2023,168.14,2,50.0,141.8;163.5;179.7,125000.0
hex_019_010,2023,167.31,2,50.0,144.4;165.7;181.5,125000.0
hex_019_011,2023,170.05,1,20.0,149.8;170.9;186.6,50000.0
hex_019_012,2023,183.16,3,100.0,142.5;159.9;172.8,250000.0
hex_019_013,2023,183.16,3,100.0,141.2;158.3;171.0,250000.0
hex_019_014,2023,197.55,3,100.0,151.4;173.4;189.8,250000.0
hex_020_000,2023,128.24,0,0.0,141.1;167.3;186.7,0.0
hex_020_001,2023,126.15,0,0.0,141.2;165.3;183.2,0.0
hex_020_002,2023,125.98,0,0.0,140.3;163.4;180.4,0.0
hex_020_003,2023,103.41,0,0.0,146.9;171.1;189.0,0.0
hex_020_004,2023,99.26,0,0.0,150.8;177.6;197.5,0.0
hex_020_005,2023,97.03,0,0.0,149.8;176.2;195.8,0.0
hex_020_006,2023,103.39,0,0.0,150.5;177.0;196.7,0.0
hex_020_007,2023,119.66,0,0.0,151.9;178.8;198.8,0.0
hex_020_008,2023,139.08,0,0.0,145.8;169.5;187.0,0.0
hex_020_009,2023,147.34,1,20.0,146.7;169.9;187.1,50000.0
hex_020_010,2023,176.11,1,20.0,155.3;178.7;195.9,50000.0
hex_020_011,2023,178.81,2,50.0,154.0;175.5;191.5,125000.0
hex_020_012,2023,176.3,2,50.0,147.5;166.3;180.3,125000.0
hex_021_000,2023,134.44,0,0.0,142.2;168.3;187.6,0.0
hex_021_001,2023,125.98,0,0.0,140.2;164.4;182.4,0.0
hex_021_002,2023,127.28,0,0.0,142.8;166.4;183.8,0.0
hex_021_003,2023,120.29,0,0.0,151.9;178.8;198.7,0.0
hex_021_004,2023,120.29,0,0.0,154.3;181.9;202.3,0.0
hex_021_005,2023,113.45,0,0.0,153.0;179.4;199.1,0.0
hex_021_006,2023,120.99,0,0.0,150.3;176.0;195.1,0.0
hex_021_007,2023,118.11,0,0.0,148.3;171.8;189.1,0.0
hex_022_000,2023,134.44,0,0.0,150.2;178.7;199.9,0.0
hex_022_001,2023,144.39,1,20.0,141.5;166.4;184.8,50000.0
hex_022_002,2023,135.43,0,0.0,140.9;164.8;182.5,0.0
hex_022_003,2023,129.1,0,0.0,152.6;179.8;200.0,0.0
hex_022_004,2023,129.1,0,0.0,157.1;185.9;207.2,0.0
hex_022_005,2023,109.22,0,0.0,155.3;182.8;203.2,0.0
hex_022_006,2023,106.94,0,0.0,151.4;177.4;196.6,0.0
hex_022_007,2023,115.78,0,0.0,150.2;173.2;190.3,0.0
hex_022_008,2023,124.8,0,0.0,154.1;176.3;192.7,0.0
hex_023_000,2023,151.14,1,20.0,148.4;175.1;195.0,50000.0
hex_023_001,2023,148.91,1,20.0,148.5;174.8;194.3,50000.0
hex_023_002,2023,141.62,0,0.0,155.9;184.2;205.1,0.0
hex_023_003,2023,134.95,0,0.0,161.4;191.7;214.3,0.0
hex_023_004,2023,120.46,0,0.0,161.9;192.3;214.8,0.0
hex_023_005,2023,113.98,0,0.0,153.8;178.8;197.4,0.0
hex_023_006,2023,120.89,0,0.0,150.7;173.3;190.1,0.0
hex_023_007,2023,132.77,0,0.0,159.2;182.9;200.5,0.0
hex_024_000,2023,160.19,1,20.0,151.5;179.4;200.1,50000.0
hex_024_001,2023,165.24,1,20.0,153.4;181.0;201.4,50000.0
hex_024_002,2023,154.48,0,0.0,160.0;189.2;210.8,0.0
hex_024_003,2023,136.52,0,0.0,169.0;200.6;224.0,0.0
hex_024_004,2023,120.46,0,0.0,171.6;204.0;228.1,0.0
hex_024_005,2023,112.12,0,0.0,165.0;192.6;213.0,0.0
hex_024_006,2023,111.76,0,0.0,159.8;184.4;202.7,0.0
hex_024_007,2023,117.15,0,0.0,157.7;181.1;198.4,0.0
hex_025_000,2023,146.35,0,0.0,157.4;185.2;205.9,0.0
hex_025_001,2023,137.82,0,0.0,162.1;192.0;214.2,0.0
hex_025_002,2023,120.42,0,0.0,170.9;203.6;227.8,0.0
hex_025_003,2023,108.83,0,0.0,175.9;209.2;233.9,0.0
hex_025_004,2023,104.08,0,0.0,171.8;201.6;223.7,0.0
hex_025_005,2023,96.32,0,0.0,168.2;195.1;215.1,0.0
hex_025_006,2023,103.33,0,0.0,163.0;188.1;206.7,0.0
hex_026_000,2023,118.21,0,0.0,167.3;197.0;219.0,0.0
hex_026_001,2023,105.95,0,0.0,168.8;200.9;224.8,0.0
hex_026_002,2023,99.43,0,0.0,172.7;206.3;231.2,0.0
hex_026_003,2023,93.83,0,0.0,175.1;208.3;232.9,0.0
hex_026_004,2023,93.83,0,0.0,172.6;204.0;227.3,0.0
hex_026_005,2023,83.05,0,0.0,166.0;193.0;213.0,0.0
hex_026_006,2023,78.72,0,0.0,167.1;194.4;214.6,0.0
hex_027_000,2023,115.32,0,0.0,178.0;210.4;234.5,0.0
hex_027_001,2023,98.09,0,0.0,170.8;203.5;227.7,0.0
hex_027_002,2023,74.23,0,0.0,163.4;192.8;214.7,0.0
hex_027_003,2023,76.77,0,0.0,168.7;198.8;221.2,0.0
hex_027_004,2023,67.3,0,0.0,166.1;193.6;214.1,0.0
hex_027_005,2023,75.9,0,0.0,164.0;190.6;210.4,0.0
hex_028_000,2023,111.74,0,0.0,187.6;221.9;247.3,0.0
hex_028_001,2023,107.59,0,0.0,180.4;213.5;238.1,0.0
hex_028_002,2023,81.55,0,0.0,166.2;195.9;218.0,0.0
hex_028_003,2023,64.52,0,0.0,162.9;191.5;212.7,0.0
hex_028_004,2023,60.21,0,0.0,163.8;191.2;211.5,0.0
hex_028_005,2023,57.51,0,0.0,167.1;194.4;214.5,0.0
hex_028_006,2023,56.57,0,0.0,165.3;190.5;209.2,0.0
hex_029_000,2023,102.85,0,0.0,185.2;219.4;244.7,0.0
hex_029_001,2023,85.44,0,0.0,181.3;214.6;239.4,0.0
hex_029_002,2023,64.99,0,0.0,167.5;196.4;217.9,0.0
hex_029_003,2023,58.4,0,0.0,165.2;193.6;214.6,0.0
hex_029_004,2023,45.0,0,0.0,164.4;191.5;211.6,0.0
hex_029_005,2023,43.0,0,0.0,168.1;195.6;215.9,0.0
hex_029_006,2023,54.07,0,0.0,167.4;194.1;213.9,0.0
hex_030_000,2023,99.42,0,0.0,181.6;214.5;239.0,0.0
hex_030_001,2023,85.44,0,0.0,181.1;214.3;238.9,0.0
hex_030_002,2023,71.56,0,0.0,179.0;210.8;234.3,0.0
hex_030_003,2023,62.09,0,0.0,170.7;199.4;220.7,0.0
hex_030_004,2023,62.09,0,0.0,172.0;201.1;222.7,0.0
hex_030_005,2023,41.76,0,0.0,171.2;200.1;221.5,0.0
hex_030_006,2023,45.61,0,0.0,173.4;203.3;225.5,0.0
hex_030_007,2023,48.85,0,0.0,167.7;194.6;214.6,0.0
hex_031_000,2023,99.42,0,0.0,176.8;206.0;227.8,0.0
hex_031_001,2023,83.21,0,0.0,181.6;212.4;235.2,0.0
hex_031_002,2023,62.14,0,0.0,177.6;207.0;228.9,0.0
hex_031_003,2023,62.09,0,0.0,179.8;211.3;234.6,0.0
hex_031_004,2023,47.97,0,0.0,179.8;211.9;235.7,0.0
hex_031_005,2023,29.89,0,0.0,176.9;207.9;231.0,0.0
hex_031_006,2023,38.71,0,0.0,173.8;203.6;225.6,0.0
hex_031_007,2023,40.95,0,0.0,168.4;194.3;213.6,0.0
hex_032_002,2023,68.46,0,0.0,187.1;218.2;241.3,0.0
hex_032_003,2023,50.2,0,0.0,188.8;221.5;245.7,0.0
hex_032_004,2023,46.1,0,0.0,190.7;225.3;251.0,0.0
hex_032_005,2023,20.5,0,0.0,186.1;220.2;245.6,0.0
hex_032_006,2023,20.42,0,0.0,180.6;212.5;236.1,0.0
hex_032_007,2023,36.23,0,0.0,175.8;205.0;226.7,0.0
hex_032_008,2023,32.98,0,0.0,179.2;209.3;231.6,0.0
hex_033_002,2023,42.49,0,0.0,199.9;233.2;257.9,0.0
hex_033_003,2023,36.89,0,0.0,202.0;236.8;262.5,0.0
hex_033_004,2023,23.49,0,0.0,204.6;242.8;271.2,0.0
hex_033_005,2023,16.97,0,0.0,194.2;229.6;255.9,0.0
hex_033_006,2023,18.16,0,0.0,194.4;230.1;256.6,0.0
hex_033_007,2023,27.06,0,0.0,190.7;223.7;248.1,0.0
hex_033_008,2023,27.06,0,0.0,191.2;223.9;248.1,0.0
hex_034_003,2023,36.89,0,0.0,207.7;243.5;270.1,0.0
hex_034_004,2023,23.49,0,0.0,219.8;259.8;289.4,0.0
hex_034_005,2023,15.26,0,0.0,215.8;255.7;285.3,0.0
hex_034_006,2023,21.09,0,0.0,206.2;243.7;271.5,0.0
hex_034_007,2023,17.0,0,0.0,202.0;237.3;263.4,0.0
hex_034_008,2023,17.08,0,0.0,197.8;230.2;254.2,0.0
hex_034_009,2023,14.32,0,0.0,196.4;227.3;250.3,0.0
hex_035_007,2023,7.07,0,0.0,203.6;236.2;260.4,0.0
hex_035_008,2023,9.43,0,0.0,196.6;228.1;251.5,0.0
