polygon,year,peak_index,tier,payout_pct,payout_eur
hex_019_020,2023,117.14277648925781,1,40.0,100000.0
hex_019_021,2023,120.53887176513672,1,40.0,100000.0
hex_019_022,2023,105.82173919677734,0,0.0,0.0
hex_019_023,2023,104.23420715332031,0,0.0,0.0
hex_020_015,2023,85.43626403808594,0,0.0,0.0
hex_020_016,2023,98.78225708007812,0,0.0,0.0
hex_020_017,2023,114.58850860595703,1,40.0,100000.0
hex_020_018,2023,116.14225006103516,1,40.0,100000.0
hex_020_019,2023,121.93721008300781,1,40.0,100000.0
hex_020_020,2023,116.97402954101562,1,40.0,100000.0
hex_020_021,2023,115.67955017089844,1,40.0,100000.0
hex_020_022,2023,108.13733673095703,0,0.0,0.0
hex_020_023,2023,113.95303344726562,1,40.0,100000.0
hex_021_015,2023,101.32244873046875,0,0.0,0.0
hex_021_016,2023,114.58850860595703,1,40.0,100000.0
hex_021_017,2023,114.58850860595703,1,40.0,100000.0
hex_021_018,2023,113.29316711425781,1,40.0,100000.0
hex_021_019,2023,117.65254211425781,1,40.0,100000.0
hex_021_020,2023,114.34009552001953,1,40.0,100000.0
hex_021_021,2023,108.13733673095703,0,0.0,0.0
hex_022_017,2023,108.17875671386719,0,0.0,0.0
hex_022_018,2023,108.17875671386719,0,0.0,0.0
hex_022_019,2023,106.71822357177734,0,0.0,0.0
hex_022_020,2023,108.26158142089844,0,0.0,0.0
hex_022_021,2023,99.63655853271484,0,0.0,0.0
hex_023_019,2023,103.72627258300781,0,0.0,0.0
hex_023_020,2023,104.62275695800781,0,0.0,0.0
hex_024_020,2023,104.74827575683594,0,0.0,0.0
hex_024_021,2023,101.1666259765625,0,0.0,0.0
hex_024_022,2023,115.14201354980469,1,40.0,100000.0
hex_025_021,2023,96.0978775024414,0,0.0,0.0
