polygon,time,value,spatial_std,n_cells
hex_012_010,2023-01-08,68.12218475341797,6.024094581604004,6
hex_012_011,2023-01-08,70.81749725341797,4.62749719619751,6
hex_012_012,2023-01-08,71.02140808105469,8.808159828186035,6
hex_013_009,2023-01-08,58.15011215209961,4.384280204772949,6
hex_013_010,2023-01-08,68.5120620727539,4.193500995635986,7
hex_013_011,2023-01-08,71.37999725341797,2.1444931030273438,6
hex_013_012,2023-01-08,67.50646209716797,3.481560707092285,6
hex_013_013,2023-01-08,54.82115936279297,6.228784561157227,6
hex_014_009,2023-01-08,66.75775909423828,3.6126558780670166,7
hex_014_010,2023-01-08,63.72237777709961,3.990753650665283,7
hex_014_011,2023-01-08,67.1537094116211,2.487948179244995,7
hex_014_012,2023-01-08,68.45329284667969,4.197140216827393,6
hex_014_013,2023-01-08,72.71726989746094,10.419669151306152,6
hex_014_014,2023-01-08,67.34172821044922,7.126410961151123,7
hex_014_015,2023-01-08,70.73736572265625,10.576823234558105,7
hex_015_011,2023-01-08,60.85371017456055,2.968372106552124,6
hex_015_012,2023-01-08,75.08679962158203,6.37404727935791,6
hex_015_013,2023-01-08,63.803558349609375,7.116693496704102,6
hex_015_014,2023-01-08,69.03624725341797,9.221240043640137,7
hex_016_012,2023-01-08,77.62667083740234,7.093214511871338,6
hex_016_013,2023-01-08,74.3409652709961,6.4407877922058105,6
hex_016_014,2023-01-08,82.09822082519531,11.980010032653809,7
hex_017_013,2023-01-08,86.33519744873047,6.274179458618164,5
hex_017_014,2023-01-08,101.64324188232422,6.3309454917907715,5
hex_017_018,2023-01-08,130.87640380859375,9.692896842956543,6
hex_017_025,2023-01-08,116.26651000976562,4.881239891052246,7
hex_017_026,2023-01-08,114.42518615722656,5.234906196594238,6
hex_018_018,2023-01-08,108.81857299804688,3.14520001411438,6
hex_018_019,2023-01-08,114.32588195800781,1.8396341800689697,6
hex_018_020,2023-01-08,115.24164581298828,2.7424612045288086,5
hex_018_023,2023-01-08,112.7004165649414,4.965622425079346,5
hex_018_024,2023-01-08,117.54850006103516,5.492284774780273,8
hex_018_025,2023-01-08,112.25171661376953,2.6913669109344482,7
hex_019_014,2023-01-08,86.13575744628906,5.463315486907959,6
hex_019_015,2023-01-08,85.93620300292969,1.6850998401641846,7
hex_019_017,2023-01-08,108.81857299804688,5.730509281158447,7
hex_019_018,2023-01-08,121.93721008300781,5.860764503479004,6
hex_019_019,2023-01-08,112.11273956298828,2.535409688949585,5
hex_019_020,2023-01-08,117.14277648925781,3.5470008850097656,6
hex_019_021,2023-01-08,120.53887176513672,6.877735614776611,6
hex_019_022,2023-01-08,105.82173919677734,5.298363208770752,6
hex_019_023,2023-01-08,104.23420715332031,6.843116760253906,6
hex_020_015,2023-01-08,85.43626403808594,3.7586002349853516,6
hex_020_016,2023-01-08,98.78225708007812,5.167276382446289,7
hex_020_017,2023-01-08,114.58850860595703,7.261214733123779,7
hex_020_018,2023-01-08,116.14225006103516,8.222983360290527,6
hex_020_019,2023-01-08,121.93721008300781,3.3650829792022705,7
hex_020_020,2023-01-08,116.97402954101562,1.5575711727142334,6
hex_020_021,2023-01-08,115.67955017089844,5.578854084014893,6
hex_020_022,2023-01-08,108.13733673095703,6.027646064758301,6
hex_020_023,2023-01-08,113.95303344726562,5.9074530601501465,7
hex_021_015,2023-01-08,101.32244873046875,4.973428249359131,7
hex_021_016,2023-01-08,114.58850860595703,5.969160079956055,7
hex_021_017,2023-01-08,114.58850860595703,7.127036094665527,7
hex_021_018,2023-01-08,113.29316711425781,6.83958625793457,7
hex_021_019,2023-01-08,117.65254211425781,4.649685382843018,6
hex_021_020,2023-01-08,114.34009552001953,5.391268253326416,6
hex_021_021,2023-01-08,108.13733673095703,5.724117755889893,6
hex_022_017,2023-01-08,108.17875671386719,4.453978061676025,7
hex_022_018,2023-01-08,108.17875671386719,5.603686809539795,7
hex_022_019,2023-01-08,106.71822357177734,3.3750414848327637,7
hex_022_020,2023-01-08,108.26158142089844,1.5209165811538696,6
hex_022_021,2023-01-08,99.63655853271484,3.2413337230682373,6
hex_023_019,2023-01-08,103.72627258300781,3.144090175628662,6
hex_023_020,2023-01-08,104.62275695800781,2.8319592475891113,6
hex_024_020,2023-01-08,104.74827575683594,2.7805426120758057,5
hex_024_021,2023-01-08,101.1666259765625,5.574453830718994,6
hex_024_022,2023-01-08,115.14201354980469,7.479781150817871,5
hex_025_021,2023-01-08,96.0978775024414,4.05865478515625,4
